Supplier_ID,M1_sr,M2_sr,M3_sr,M4_sr,M5_sr,M6_sr,M1_pi,M2_pi,M3_pi,M4_pi,M5_pi,M6_pi,M1_sw,M2_sw,M3_sw,M4_sw,M5_sw,M6_sw,M1_sqc,M2_sqc,M3_sqc,M4_sqc,M5_sqc,M6_sqc
A_{43},0.33319560689200856,0.21773399014778327,0.35029354207436364,0.31961474852078464,0.34993981044656813,-0,0.6535903358427891,0.30415027031711106,0.5448818897637799,0.6093918384056571,0.6523647678064557,0.6744357637544931,0.2940791540305375,0.2250000000000001,0.266519823788546,0.364010162805647,0.3441860746518925,-0,0.9162135119849755,0.9529084796713407,0.4964539007092198,0.9292737599510262,0.9497901608173158,0.911046843304543
A_{44},0.726024652047819,0.49096880131362886,0.8493150684931503,0.7403517262452988,0.8107238298496591,0.3997241577917372,0.7253224737189842,0.4675520040575585,0.5086614173228351,0.6723801573832016,0.6954628948236494,0.7931680650236774,0.465862468016064,0.3500000000000001,0.4801762114537445,0.5404375327211268,0.5432073821247598,0.054184727606774286,0.9837983000581184,0.9721491345752444,0.5724417426545089,0.9707269215562521,0.9860987328743174,0.988148156716424
A_{45},0.8090434886226646,0.8273809523809523,0.796477495107632,0.84661104044127,0.8237554997003568,0.7693205901556586,0.4589134256066405,0.043878027527573304,0.08188976377952742,0.18474998211640195,0.2932516237307297,0.6642146767285535,0.5866895779540001,0.6,0.575991189427313,0.6639185431080854,0.6522998766662931,0.5098135882598192,0.97924848032745,0.988910464119803,0.646403242147923,0.9860591978697056,0.9857307239494643,0.9793842925919394
A_{46},0.4582083539469908,0.2839080459770115,0.45205479452054775,0.4434564898851426,0.46880892171819283,0.3997241577917372,0.6277359758880287,0.30124260360222643,0.31338582677165366,0.4764223814218734,0.5376504712104268,0.8084721842760029,0.3284220024938172,0.25,0.36123348017621143,0.3835093790075726,0.3824643892389583,0.016230959302632537,0.9718278410893024,0.9839889301917499,0.5562310030395138,0.9813007217823956,0.9783864835643871,0.9746713650548775
A_{47},0.3672410085005761,0.3330049261083744,0.4618395303326806,0.4732878425483606,0.452347313805242,0.07728236062263383,0.596545394667185,0.1933612235760811,0.48503937007874026,0.4411013996960282,0.5491764975603259,0.6642146767285535,0.5407137487693622,0.42500000000000004,0.628854625550661,0.6497908710151454,0.6580341613144564,0.016230959302632537,0.415898308460214,0.47469084933480343,0.4052684903748731,0.3414940915469387,0.6018327377527742,0.18756422674553008
A_{48},0.6068024445458547,0.6320391495981332,0.7260273972602738,0.7507938731600736,0.7429495963253817,0.3238630025906162,0.6234215866532429,0.3173109619932972,0.49921259842519716,0.5614968245941745,0.6254226026367032,0.6044172609116633,0.5597532469200986,0.5750000000000001,0.536343612334802,0.6334940091347415,0.6188051497600439,0.49803728234803624,0.9074673820350453,0.946215904379875,0.46605876393110446,0.9202081856542833,0.9388924921862065,0.911046843304543
A_{49},0.5514880622607704,0.5572897761645492,0.6125244618395299,0.6812111966093728,0.6583361985219999,0.25909040207249295,0.6696402255425286,0.3570880372041074,0.5149606299212599,0.6644710782142045,0.7021706034347207,0.6642146767285535,0.5286807921261908,0.55,0.49008810572687234,0.5998579212679345,0.5776488844875344,0.49803728234803624,0.9793214369932699,0.9885240769535585,0.5937183383991894,0.9876229127685962,0.9840169600056152,0.9840972201290011
A_{50},0.5355815524421441,0.49527482499351816,0.6281800391389429,0.6952380613498902,0.6693971618799136,0.06477260051812324,0.5890466978926152,0.19757629297271795,0.3795275590551182,0.439142956820281,0.5240824120903667,0.6597892378425686,0.3001925398546937,0.2250000000000001,0.305066079295154,0.3478569536435718,0.34505182028033327,-0,0.9797870671880063,0.9893110578748042,0.646403242147923,0.9862847965077436,0.9864412821409801,0.9793842925919394
A_{51},0.33541429469807643,0.2113300492610838,0.41682974559686875,0.2965874432790105,0.3462501981364751,0.07728236062263383,0.5687478562996019,0.5764072321846019,0.35275590551181113,0.514446285819099,0.528618729156643,0.7771523856353183,0.16008273330888523,0.12499999999999989,0.13766519823788542,0.21407119382975928,0.19655009065433848,0.04476200814208164,0.9417583865280004,0.9439296948802552,0.5400202634245189,0.9502095483172868,0.9641175538069945,0.9383709175472492
A_{52},0.6674600220540132,0.6447735718606864,0.841487279843444,0.8287894342851858,0.8356373887247482,0.19431780155436973,0.5235098617595159,0.28394547441495477,0.3606299212598426,0.4387911175123408,0.4901016385509662,0.6642146767285535,0.11976129782829599,0.07499999999999996,0.10462555066079308,0.11127898544914247,0.12471728189637159,0.016230959302632537,0.9003075178031691,0.9497443389912937,0.606889564336373,0.9168332272639844,0.9374408225019966,0.8992645244618884
